order_start,service_artTest,service_pathology,service_vaccination,duration,price,buffer,capacity_needed,long,lat,order_id
9,1,0,1,30,150,15,1,77.08702590849342,28.49511453423565,0
14,1,0,1,30,150,10,1,77.11305276428858,28.475048942219097,1
7,0,1,0,15,200,14,0,77.08120790869887,28.494029567530987,2
14,1,1,0,30,250,13,1,77.06693058852898,28.454101272131687,3
8,1,1,1,45,350,13,1,77.1245100183337,28.46639811671314,4
9,1,1,1,45,350,13,1,77.11121035253018,28.43528827824216,5
13,0,0,1,15,100,10,0,77.08070459774103,28.485324314195733,6
9,1,1,0,30,250,10,1,77.10028375701945,28.449311267204543,7
10,1,0,0,15,50,13,1,77.14219912288388,28.441252484571837,8
6,1,1,1,45,350,14,1,77.1054053679712,28.444612185185726,9
12,1,0,0,15,50,15,1,77.09796255059368,28.46248252482812,10
10,1,1,0,30,250,14,1,77.14421038553625,28.437797279248578,11
8,1,1,1,45,350,12,1,77.11664552388679,28.431789717620855,12
12,1,1,0,30,250,15,1,77.07234528561571,28.42665027510162,13
8,1,1,1,45,350,10,1,77.07608005347815,28.42988492128864,14
9,1,0,0,15,50,14,1,77.05390862724627,28.43394772591582,15
7,1,1,1,45,350,13,1,77.0965611792321,28.44196469242763,16
9,1,1,1,45,350,14,1,77.10894004733817,28.446363182174814,17
7,0,1,0,15,200,15,0,77.0965054738551,28.429457669300746,18
8,0,0,1,15,100,10,0,77.08156161872182,28.42176144893139,19
12,0,0,1,15,100,14,0,77.11183075186007,28.448001080494446,20
8,0,0,1,15,100,10,0,77.06529311928047,28.4473406594238,21
9,0,1,0,15,200,12,0,77.08869491288625,28.459258971159343,22
14,0,1,0,15,200,10,0,77.12171076257862,28.425614447279308,23
14,1,1,1,45,350,11,1,77.11373749609898,28.450381548561985,24
11,1,0,0,15,50,15,1,77.14866615499889,28.441909411957575,25
10,1,1,1,45,350,12,1,77.11726707590826,28.427042502509327,26
8,1,1,1,45,350,13,1,77.12466873844939,28.442694009371248,27
7,1,0,0,15,50,15,1,77.11344338307084,28.434396106856187,28
14,1,1,1,45,350,15,1,77.09267017211,28.487461189530958,29
9,1,1,1,45,350,10,1,77.11349602667846,28.472862853698626,30
6,0,1,0,15,200,12,0,77.09396146127983,28.47119879746837,31
10,0,0,1,15,100,15,0,77.11097809594254,28.444121836977178,32
12,1,1,0,30,250,14,1,77.09925191606726,28.456632676919096,33
10,0,1,0,15,200,12,0,77.05270777065464,28.452708440330913,34
14,1,0,1,30,150,10,1,77.07713496959502,28.42502793354457,35
6,1,0,1,30,150,13,1,77.06226444715233,28.4533398578506,36
10,0,1,1,30,300,10,0,77.08841331832392,28.43374509955844,37
9,1,1,0,30,250,15,1,77.05281355395157,28.441450930185262,38
6,0,1,1,30,300,11,0,77.08348420998007,28.44317190172601,39
10,0,0,1,15,100,12,0,77.1289738358039,28.433806208615035,40
13,0,1,1,30,300,13,0,77.11851546576925,28.46860729649009,41
10,1,1,0,30,250,12,1,77.11388157519814,28.423109727386713,42
7,1,1,1,45,350,13,1,77.07259332585473,28.463487532061006,43
13,1,1,1,45,350,14,1,77.1489322647396,28.433779778715945,44
9,1,1,1,45,350,12,1,77.13109827133079,28.459596989577985,45
9,0,1,1,30,300,12,0,77.10479915094913,28.467185562566947,46
12,1,1,0,30,250,12,1,77.08207921641988,28.472486663250578,47
7,0,1,0,15,200,14,0,77.08919715736828,28.485007299762714,48
12,1,1,0,30,250,13,1,77.13499042118555,28.459905682697887,49
11,1,1,0,30,250,12,1,77.12913222521983,28.44511507711219,50
12,0,1,1,30,300,15,0,77.07423158917527,28.421466849097158,51
7,0,0,1,15,100,11,0,77.10310969271629,28.433974713573058,52
12,0,1,0,15,200,12,0,77.06127349392695,28.42585643374996,53
7,1,0,0,15,50,15,1,77.04446272050346,28.441334190494214,54
6,0,1,0,15,200,15,0,77.11022942800749,28.459111959735903,55
13,1,1,0,30,250,13,1,77.0570695018826,28.46393038586166,56
13,0,0,1,15,100,10,0,77.11023808308327,28.462477848087005,57
13,1,0,0,15,50,13,1,77.11162185883138,28.449413103787535,58
9,1,0,0,15,50,12,1,77.10114069023099,28.452814914347446,59
8,1,1,1,45,350,15,1,77.11791730600844,28.460078512824865,60
6,0,0,1,15,100,13,0,77.10363434332905,28.475386982362526,61
10,1,1,1,45,350,13,1,77.10425575162643,28.446420551758706,62
11,1,0,1,30,150,13,1,77.0838939893076,28.42517074059064,63
13,0,0,1,15,100,12,0,77.12003063452623,28.461661657261818,64
8,1,1,1,45,350,11,1,77.07002001007342,28.437513455922726,65
7,1,1,1,45,350,13,1,77.08985443726769,28.484541717673583,66
10,1,1,1,45,350,12,1,77.0876659564543,28.418473655888516,67
12,0,0,1,15,100,14,0,77.10461468380417,28.43987891626512,68
14,1,1,1,45,350,15,1,77.1306951853652,28.476794931933235,69
7,1,1,1,45,350,12,1,77.09159440456968,28.467008460864832,70
9,1,1,1,45,350,13,1,77.14258587392945,28.45445585030729,71
13,1,1,1,45,350,11,1,77.08302956964862,28.450024429695382,72
9,0,1,1,30,300,13,0,77.07088654857048,28.463307618805693,73
10,0,1,1,30,300,10,0,77.05824488895226,28.452155890992127,74
6,1,1,1,45,350,10,1,77.0919459241023,28.429104774852846,75
11,1,1,1,45,350,11,1,77.04850411107216,28.455595011244107,76
14,1,1,1,45,350,10,1,77.10598245603155,28.42486324345617,77
13,1,0,1,30,150,15,1,77.0912401832352,28.455655008334695,78
13,1,0,1,30,150,11,1,77.07351020847658,28.455100941469862,79
11,1,0,1,30,150,15,1,77.05697709690497,28.44601487255975,80
7,0,1,0,15,200,10,0,77.125524307485,28.45613516056117,81
12,0,0,1,15,100,14,0,77.08673517932465,28.500899391406016,82
7,1,0,1,30,150,15,1,77.0640869649547,28.439040917948425,83
13,1,0,1,30,150,10,1,77.04717704036447,28.451565313376115,84
6,1,0,0,15,50,10,1,77.06317701022394,28.451257905388193,85
12,1,0,0,15,50,11,1,77.11453943962968,28.443802596717532,86
7,0,0,1,15,100,12,0,77.11442356418071,28.476250579768156,87
8,1,1,1,45,350,12,1,77.11130307061637,28.450391047878096,88
8,1,1,0,30,250,10,1,77.08929724288883,28.42642159808922,89
11,0,0,1,15,100,10,0,77.09501665576047,28.488348695100402,90
7,1,1,1,45,350,13,1,77.09740356458167,28.45362347342141,91
9,1,1,1,45,350,10,1,77.07896135160274,28.483258167057496,92
6,0,0,1,15,100,10,0,77.05521205378362,28.46327272885822,93
8,1,1,1,45,350,12,1,77.11356724494077,28.422635261238618,94
9,1,1,1,45,350,10,1,77.13325016619008,28.43544086682611,95
6,1,1,1,45,350,10,1,77.13132670355148,28.4332135500936,96
10,0,1,1,30,300,10,0,77.08241553483144,28.432973686686104,97
8,1,1,1,45,350,12,1,77.09635309935388,28.4696134743991,98
11,0,1,0,15,200,11,0,77.07533790411708,28.421437238902733,99
