shift_start,break_start,shift_end,cost,expertise_premium,expertise_regular,expertise_special,capacity,service_rating,long,lat,gender,phleb_id
6,10,14,800,0,1,0,20,3.7,77.05666911676876,28.446275918004297,0,0
6,10,14,800,0,1,0,20,3.7,77.10818368839077,28.43637419022839,0,1
6,10,14,800,0,1,0,20,4.0,77.12523221919234,28.460431052692027,0,2
6,10,14,800,0,1,0,20,4.1,77.08386447523183,28.44673371496172,0,3
6,10,14,800,0,1,0,20,3.7,77.0411748655223,28.450267421182843,0,4
6,10,14,800,0,1,0,20,4.2,77.07412281832846,28.448895764608583,0,5
6,10,14,800,0,1,0,20,4.0,77.04601752253294,28.440193994664238,0,6
6,10,14,800,0,1,0,20,4.2,77.04387948466075,28.444459785194987,0,7
6,10,14,800,0,1,0,20,4.2,77.13751105790742,28.43903924017343,1,8
6,10,14,800,0,1,0,20,3.8,77.12739188972012,28.46432135045562,0,9
6,10,14,800,0,1,0,20,4.1,77.09674763590466,28.467609953162384,0,10
6,10,14,800,0,1,0,20,4.3,77.12879687732573,28.478479252700478,0,11
6,10,14,800,0,1,0,20,4.0,77.08113311976679,28.49088919371565,0,12
6,10,14,800,0,1,0,20,4.1,77.08437246883514,28.449678096463913,0,13
6,10,14,800,0,1,0,20,4.0,77.07310527823711,28.463916806854016,0,14
6,10,14,800,0,1,0,20,3.6,77.11759813695633,28.46971469325279,1,15
6,10,14,800,0,1,0,20,4.0,77.07606865744988,28.478805099692696,0,16
6,10,14,800,0,1,0,20,4.1,77.09566182548869,28.463377815227517,0,17
6,10,14,800,0,1,0,20,4.8,77.0856878060602,28.493530813650565,0,18
6,10,14,800,0,1,0,20,3.8,77.0947552604511,28.442883569629622,0,19
6,10,14,900,1,1,0,20,4.2,77.14125501871361,28.445744160405653,0,20
6,10,14,900,1,1,0,20,3.9,77.12529474776491,28.42994280089314,1,21
6,10,14,900,1,1,0,20,3.7,77.10600063044423,28.46024411052356,1,22
6,10,14,900,1,1,0,20,3.7,77.13451877749765,28.468212079358256,0,23
6,10,14,900,1,1,0,20,3.9,77.11354797354528,28.42547142427575,0,24
6,10,14,900,1,1,0,20,3.9,77.05361397713868,28.441952856705377,0,25
6,10,14,900,1,1,0,20,3.9,77.11075348265321,28.453954845591937,1,26
6,10,14,900,1,1,0,20,4.0,77.06958863419275,28.424336820521162,0,27
6,10,14,900,1,1,0,20,3.6,77.11566407934777,28.45727272046803,1,28
6,10,14,900,1,1,0,20,3.5,77.07885098798188,28.463089090445884,0,29
6,10,14,900,1,1,0,20,4.0,77.11860278258108,28.449880444737744,0,30
6,10,14,900,1,1,0,20,4.1,77.09746108802106,28.42489283859473,0,31
6,10,14,900,1,1,0,20,4.2,77.1015295391492,28.449200149864993,0,32
6,10,14,900,1,1,0,20,4.6,77.08400665269271,28.454912699335605,0,33
6,10,14,900,1,1,0,20,4.1,77.12857780243483,28.437666706056046,0,34
6,10,14,900,1,1,0,20,4.3,77.0846649238656,28.466980487207152,0,35
6,10,14,900,1,1,0,20,4.2,77.10981472253687,28.42643481141921,1,36
6,10,14,900,1,1,0,20,4.5,77.08694576339833,28.438648694312885,1,37
6,10,14,900,1,1,0,20,4.3,77.13530032565919,28.452097958311494,0,38
6,10,14,900,1,1,0,20,3.8,77.13461871892767,28.44848661618807,0,39
6,10,14,1000,1,1,1,20,4.6,77.0799724906874,28.4884970660708,0,40
6,10,14,1000,1,1,1,20,3.6,77.0500660109192,28.44344971238692,0,41
6,10,14,1000,1,1,1,20,4.6,77.09497094562167,28.46183975501233,0,42
6,10,14,1000,1,1,1,20,4.4,77.07925245038601,28.456098210777952,0,43
6,10,14,1000,1,1,1,20,4.2,77.05257106286112,28.441088752806223,0,44
6,10,14,1000,1,1,1,20,4.3,77.06304368348157,28.44437301662063,0,45
6,10,14,1000,1,1,1,20,4.3,77.0750741490343,28.45393089752265,0,46
6,10,14,1000,1,1,1,20,4.0,77.0809481988156,28.454868809002114,0,47
6,10,14,1000,1,1,1,20,3.6,77.11949693396916,28.463463163544848,0,48
6,10,14,1000,1,1,1,20,3.8,77.06997954733343,28.44792815656745,0,49
6,10,14,1000,1,1,1,20,3.6,77.07326324054699,28.443520020237568,1,50
6,10,14,1000,1,1,1,20,4.3,77.07398221955381,28.435608211597355,1,51
6,10,14,1000,1,1,1,20,4.7,77.13136290829725,28.470187708760015,0,52
6,10,14,1000,1,1,1,20,5.0,77.09805563818603,28.441619963927877,0,53
6,10,14,1000,1,1,1,20,4.5,77.08506873780256,28.499531320408813,0,54
6,10,14,1000,1,1,1,20,3.7,77.12741327405493,28.464332680235824,0,55
6,10,14,1000,1,1,1,20,3.6,77.06991535075258,28.42754274530159,0,56
6,10,14,1000,1,1,1,20,3.8,77.11607410251624,28.466491851917677,0,57
6,10,14,1000,1,1,1,20,4.0,77.07649859080345,28.433074857465716,0,58
6,10,14,1000,1,1,1,20,3.8,77.04875947938308,28.44299455562773,0,59
